id,rank,name,position,school,pts,reb,ast,imputed,potential,risk,notes,avatar_url,source_url
aj-dybantsa,1,AJ Dybantsa,F,BYU Cougars,25.50,6.80,3.70,0,1.28,High Ceiling,· 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5142718.png,https://www.espn.com/mens-college-basketball/player/_/id/5142718/aj-dybantsa
darryn-peterson,2,Darryn Peterson,G,Kansas Jayhawks,20.20,4.20,1.60,0,1.28,High Ceiling,· 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5041955.png,https://www.espn.com/mens-college-basketball/player/_/id/5041955/darryn-peterson
cameron-boozer,3,Cameron Boozer,F,Duke Blue Devils,22.50,10.20,4.10,0,1.28,High Ceiling,· 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5041935.png,https://www.espn.com/mens-college-basketball/player/_/id/5041935/cameron-boozer
caleb-wilson,4,Caleb Wilson,F,North Carolina Tar Heels,19.80,9.40,2.70,0,1.27,High Ceiling,· 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5095151.png,https://www.espn.com/mens-college-basketball/player/_/id/5095151/caleb-wilson
keaton-wagler,5,Keaton Wagler,G,Illinois Fighting Illini,17.90,5.10,4.20,0,1.27,High Ceiling,· 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5254165.png,https://www.espn.com/mens-college-basketball/player/_/id/5254165/keaton-wagler
darius-acuff-jr,6,Darius Acuff Jr,G,Arkansas Razorbacks,23.50,3.10,6.40,0,1.27,High Ceiling,· 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5142620.png,https://www.espn.com/mens-college-basketball/player/_/id/5142620/darius-acuff-jr
kingston-flemings,7,Kingston Flemings,G,Houston Cougars,16.10,4.10,5.20,0,1.27,High Ceiling,· 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5149077.png,https://www.espn.com/mens-college-basketball/player/_/id/5149077/kingston-flemings
richie-saunders,8,Richie Saunders,G,BYU Cougars,18.00,5.80,2.10,0,1.26,High Ceiling,· 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105462.png,https://www.espn.com/mens-college-basketball/player/_/id/5105462/richie-saunders
nate-ament,9,Nate Ament,SF/PF,Tennessee,16.70,6.30,2.30,0,1.26,High Ceiling,Tennessee · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5164559.png,https://www.espn.com/mens-college-basketball/player/_/id/5164559/nate-ament
mikel-brown-jr,10,Mikel Brown Jr,G,Louisville Cardinals,18.20,3.30,4.70,0,1.26,High Ceiling,· 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5101761.png,https://www.espn.com/mens-college-basketball/player/_/id/5101761/mikel-brown-jr
brayden-burries,11,Brayden Burries,SG,Arizona,16.10,4.90,2.40,0,1.26,High Ceiling,Arizona · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5082206.png,https://www.espn.com/mens-college-basketball/player/_/id/5082206/brayden-burries
yaxel-lendeborg,12,Yaxel Lendeborg,PF/C,Michigan,15.10,6.80,3.20,0,1.25,High Ceiling,Michigan · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5175737.png,https://www.espn.com/mens-college-basketball/player/_/id/5175737/yaxel-lendeborg
thomas-haugh,13,Thomas Haugh,SF/PF,Florida,17.10,6.10,2.10,0,1.25,Medium Risk,Florida · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5080489.png,https://www.espn.com/mens-college-basketball/player/_/id/5080489/thomas-haugh
aday-mara,14,Aday Mara,C,Michigan,12.10,6.80,2.40,0,1.25,Medium Risk,Michigan · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5174983.png,https://www.espn.com/mens-college-basketball/player/_/id/5174983/aday-mara
